createDt,gubun,confcase,death
2021-12-08 08:59:37.686,0-9,32328,2
2021-12-08 08:59:37.686,10-19,48091,0
2021-12-08 08:59:37.685,20-29,79971,12
2021-12-08 08:59:37.685,30-39,73353,26
2021-12-08 08:59:37.685,40-49,72750,54
2021-12-08 08:59:37.685,50-59,72688,218
2021-12-08 08:59:37.685,60-69,65062,587
2021-12-08 08:59:37.684,70-79,28936,1073
2021-12-08 08:59:37.684,80 이상,16305,2048
2021-12-08 08:59:37.684,여성,232135,1958
2021-12-08 08:59:37.684,남성,257349,2062
2021-12-07 09:04:12.896,0-9,31664,2
2021-12-07 09:04:12.895,10-19,47365,0
2021-12-07 09:04:12.895,20-29,79371,12
2021-12-07 09:04:12.895,30-39,72496,26
2021-12-07 09:04:12.895,40-49,71809,54
2021-12-07 09:04:12.894,50-59,71752,214
2021-12-07 09:04:12.894,60-69,63556,578
2021-12-07 09:04:12.894,70-79,28271,1060
2021-12-07 09:04:12.894,80 이상,16026,2011
2021-12-07 09:04:12.894,여성,228578,1931
2021-12-07 09:04:12.893,남성,253732,2026
2021-12-06 09:06:16.247,0-9,31116,1
2021-12-06 09:06:16.247,10-19,46816,0
2021-12-06 09:06:16.247,20-29,78941,12
2021-12-06 09:06:16.247,30-39,71899,26
2021-12-06 09:06:16.247,40-49,71178,53
2021-12-06 09:06:16.246,50-59,71106,213
2021-12-06 09:06:16.246,60-69,62614,562
2021-12-06 09:06:16.246,70-79,27854,1044
2021-12-06 09:06:16.246,80 이상,15834,1982
2021-12-06 09:06:16.246,여성,226226,1896
2021-12-06 09:06:16.245,남성,251132,1997
2021-12-05 13:04:18.582,0-9,30631,1
2021-12-05 13:04:18.582,10-19,46334,0
2021-12-05 13:04:18.582,20-29,78582,12
2021-12-05 13:04:18.581,30-39,71453,26
2021-12-05 13:04:18.581,40-49,70694,52
2021-12-05 13:04:18.581,50-59,70580,212
2021-12-05 13:04:18.581,60-69,61733,559
2021-12-05 13:04:18.581,70-79,27446,1030
2021-12-05 13:04:18.58,80 이상,15581,1960
2021-12-05 13:04:18.58,여성,224027,1880
2021-12-05 13:04:18.58,남성,249007,1972
2021-12-04 12:14:36.115,0-9,30147,1
2021-12-04 12:14:36.115,10-19,45780,0
2021-12-04 12:14:36.115,20-29,78138,12
2021-12-04 12:14:36.115,30-39,70871,26
2021-12-04 12:14:36.115,40-49,70114,52
2021-12-04 12:14:36.115,50-59,69923,208
2021-12-04 12:14:36.114,60-69,60678,554
2021-12-04 12:14:36.114,70-79,26930,1019
2021-12-04 12:14:36.114,80 이상,15326,1937
2021-12-04 12:14:36.114,여성,221438,1858
2021-12-04 12:14:36.113,남성,246469,1951
2021-12-03 13:35:19.826,0-9,29645,1
2021-12-03 13:35:19.825,10-19,45192,0
2021-12-03 13:35:19.825,20-29,77686,12
2021-12-03 13:35:19.825,30-39,70225,26
2021-12-03 13:35:19.825,40-49,69491,52
2021-12-03 13:35:19.825,50-59,69250,205
2021-12-03 13:35:19.825,60-69,59617,542
2021-12-03 13:35:19.824,70-79,26395,1004
2021-12-03 13:35:19.824,80 이상,15054,1897
2021-12-03 13:35:19.824,여성,218758,1821
2021-12-03 13:35:19.824,남성,243797,1918
2021-12-02 14:07:09.146,0-9,29193,1
2021-12-02 14:07:09.145,10-19,44644,0
2021-12-02 14:07:09.145,20-29,77237,12
2021-12-02 14:07:09.145,30-39,69666,26
2021-12-02 14:07:09.145,40-49,68903,51
2021-12-02 14:07:09.145,50-59,68599,205
2021-12-02 14:07:09.144,60-69,58660,538
2021-12-02 14:07:09.144,70-79,25894,991
2021-12-02 14:07:09.144,80 이상,14816,1881
2021-12-02 14:07:09.144,여성,216273,1806
2021-12-02 14:07:09.143,남성,241339,1899
2021-12-01 14:08:27.161,0-9,28769,1
2021-12-01 14:08:27.161,10-19,44092,0
2021-12-01 14:08:27.161,20-29,76717,12
2021-12-01 14:08:27.161,30-39,69039,26
2021-12-01 14:08:27.16,40-49,68303,51
2021-12-01 14:08:27.16,50-59,67923,204
2021-12-01 14:08:27.16,60-69,57625,530
2021-12-01 14:08:27.16,70-79,25359,976
2021-12-01 14:08:27.16,80 이상,14523,1858
2021-12-01 14:08:27.159,여성,213701,1786
2021-12-01 14:08:27.159,남성,238649,1872
